version,flow_code,region_code,unit_reference,value,unit_emission,metric
v2.1.6,C_ASHW,ES,Meuro,-30182.5664014351,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,FI,Meuro,-121651.871423974,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,FR,Meuro,-23676.6930194307,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,GB,Meuro,-7978.1870923813,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,GR,Meuro,-53944.9931143226,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,HU,Meuro,-43428.6119611283,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,IE,Meuro,-12561.0837394526,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,IN,Meuro,-42908.7755623627,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,IT,Meuro,-14977.9010071933,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,JP,Meuro,-163204.2106958677,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,KR,Meuro,-69915.951674181,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,LT,Meuro,-71150.7865844621,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,LU,Meuro,-35559.1576628579,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,LV,Meuro,-53841.6654829541,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,NL,Meuro,-49206.911822984,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,NO,Meuro,-8773.3806041115,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,PL,Meuro,-122341.5755370412,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,PT,Meuro,-27638.858827222,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,RO,Meuro,-40761.1335911616,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,RU,Meuro,-76365.7964900046,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,SE,Meuro,-47630.7593016818,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,SI,Meuro,-49120.7882549919,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,SK,Meuro,-81109.0921879141,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,TR,Meuro,-56171.5654101843,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,US,Meuro,-45795.8932236466,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,ZA,Meuro,-70842.7813999349,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,AT,Meuro,293.5787136318,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,AU,Meuro,309.1980803216,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,BE,Meuro,554.7276899053,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,BG,Meuro,152.2814336704,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,BR,Meuro,180.949018938,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,CA,Meuro,157.5491368037,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,CH,Meuro,346.4066168338,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,CN,Meuro,8362.655049483,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,CZ,Meuro,563.5623542713,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,DE,Meuro,400.1755163371,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,DK,Meuro,174.2338430204,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,EE,Meuro,294.048758304,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,FI,Meuro,113.084938912,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,FR,Meuro,362.3195909443,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,GB,Meuro,269.2212252492,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,HR,Meuro,388.8769503971,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,HU,Meuro,347.2624077615,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,IE,Meuro,121.1430185675,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,IT,Meuro,385.557177898,tonnes CO2eq,GWP100
v2.1.6,C_AS_LAND,JP,Meuro,189.2277953965,tonnes CO2eq,GWP100
